Course Title,Course Info,Course Rating,Course Duration,Course Level,Source,Course Info Translate,Course Title Translate
Securing Cisco Switches with Port Security,"Securing unused switch ports.Configure different port security modes on Cisco switches.Verifying Port Security Settings on Cisco switches. security, Virtual Local Area Network (LAN), Switches, Ports Security Learn step-by-step Information Technology",4.8,2.0,Intermediate,Coursera,"Securing unused switch ports.Configure different port security modes on Cisco switches.Verifying Port Security Settings on Cisco switches. security, Virtual Local Area Network (LAN), Switches, Ports Security Learn step-by-step Information Technology",Securing Cisco Switches with Port Security
Principes de base du soutien technique,"Not specified Code binaire, Dépannage, soutien à la clientèle, Linux Introduction aux TI , Le matériel, Système d’exploitation, Réseautage, Les logiciels, Dépannage Information Technology",4.8,24.0,Beginner,Coursera,"Binary Code, Troubleshooting, Customer Support, Introduction to Linux, Hardware, Operating System, Networking, Software, Information Technology Troubleshooting",Basic principles of technical support
Getting Started with Automation 360,"Not specified Writing inline scripts within RPa bots, Deploying Bots to automate business processes, Creating Attended and Unattended RPA bots using AARI, Building bots using Automation 360 action packages, Identifying business processes for automation Introducing Robotic Process Automation, Identifying Use Case for Creating Bots, Documenting Business Processes Using Automation 360 Discovery Bot, Hello Automation 360 Bot: Getting Started with Building Bots, Building Resilient Bots Using Automation 360, Building Scalable Bots Using Automation 360, Automating Tasks Using the Automation 360 Excel Advanced Actions, Writing Inline Scripts in Automation 360, Implementing Back and Front Office Automations Using Automation Anywhere Robotic Interface, Getting Started with Automation 360 Quiz Information Technology",4.4,5.0,Intermediate,Coursera,"Not specified Writing inline scripts within RPa bots, Deploying Bots to automate business processes, Creating Attended and Unattended RPA bots using AARI, Building bots using Automation 360 action packages, Identifying business processes for automation Introducing Robotic Process Automation, Identifying Use Case for Creating Bots, Documenting Business Processes Using Automation 360 Discovery Bot, Hello Automation 360 Bot: Getting Started with Building Bots, Building Resilient Bots Using Automation 360, Building Scalable Bots Using Automation 360, Automating Tasks Using the Automation 360 Excel Advanced Actions, Writing Inline Scripts in Automation 360, Implementing Back and Front Office Automations Using Automation Anywhere Robotic Interface, Getting Started with Automation 360 Quiz Information Technology",Getting Started with Automation 360
Build a Small Simulated Network With Cisco Packet Tracker,"Understanding network fundamentalsAbility to troubleshoot and plan networks Networking, Troubleshooting, Understanding network fundamentals Learn step-by-step Information Technology",4.5,1.0,Beginner,Coursera,"Understanding network fundamentalsAbility to troubleshoot and plan networks Networking, Troubleshooting, Understanding network fundamentals Learn step-by-step Information Technology",Build a Small Simulated Network With Cisco Packet Tracker
"Planning, Auditing and Maintaining Enterprise Systems","Not specified Not specified Critical first steps in System Management, Planning for an enterprise system environment, Auditing systems in the enterprise, Maintaining systems in the enterprise, Organizational Policies - Project Information Technology",4.7,12.0,Intermediate,Coursera,"No especificado No especificado Pasos críticos iniciales en la Gestión de Sistemas, Planificación para un entorno de sistema empresarial, Auditoría de sistemas en la empresa, Mantenimiento de sistemas en la empresa, Políticas Organizacionales - Proyecto de Tecnología de la Información.","Planning, Auditing and Maintaining Enterprise Systems"
Data Encryption using AWS KMS From UST,"Use AWS KMS for Cryptographic OperationsEncrypt and Decrypt sensitive Data Create and Delete KMS Keys Key Management, Cryptography, Data Security, AWS cloud Learn step-by-step Information Technology",4.6,1.0,Beginner,Coursera,"Use AWS KMS for Cryptographic OperationsEncrypt and Decrypt sensitive Data Create and Delete KMS Keys Key Management, Cryptography, Data Security, AWS cloud Learn step-by-step Information Technology",Data Encryption using AWS KMS From UST
Fundamentals of Data Warehousing,"Not specified Not specified Concepts, Components, Design and Architecture Information Technology",3.9,14.0,Beginner,Coursera,"No especificado No especificado Conceptos, Componentes, Diseño y Arquitectura Tecnología de la Información",Fundamentals of Data Warehousing
Building Smart Business Assistants with IBM Watson,"Creating an IBM Cloud account and configure the Watson’s Assistant to capture customer goals, business, entities, and dialogs.Deploy the an IBM Watson Assistant to interact with online customers.How to build meaningful dialogs in Watson's Assistant.  Customer Service, Cloud Computing, IBM Cloud, Customer Engagement, Natural Language Processing Learn step-by-step Information Technology",4.6,2.0,Beginner,Coursera,"Creating an IBM Cloud account and configure the Watson’s Assistant to capture customer goals, business, entities, and dialogs.Deploy the an IBM Watson Assistant to interact with online customers.How to build meaningful dialogs in Watson's Assistant.  Customer Service, Cloud Computing, IBM Cloud, Customer Engagement, Natural Language Processing Learn step-by-step Information Technology",Building Smart Business Assistants with IBM Watson
Personnel & Third-Party Security,"Not specified Not specified Education, Training, & Awareness, Personnel Security, Vendor Risk Management, Acquisition Strategy Information Technology",4.7,9.0,Not applicable,Coursera,"Not specified Not specified Education, Training, & Awareness, Personnel Security, Vendor Risk Management, Acquisition Strategy Information Technology",Personnel & Third-Party Security
Automate Doc Review Process with SharePoint & Power Automate,"Use SharePoint for storing documents and tracking document reviews Use Power Automate to automate sending interactive email notifications to the employees Automatization of manual business process, Creating Power Automate flows, Creating and Setting up SharePoint Learn step-by-step Information Technology",3.9,1.5,Intermediate,Coursera,"Use SharePoint for storing documents and tracking document reviews Use Power Automate to automate sending interactive email notifications to the employees Automatization of manual business process, Creating Power Automate flows, Creating and Setting up SharePoint Learn step-by-step Information Technology",Automate Doc Review Process with SharePoint & Power Automate
