Course Title,Course Info,Course Rating,Course Duration,Course Level,Source,Course Info Translate,Course Title Translate
Semiconductor Devices Specialization,"Principles of basic electronic devices including pn junction, metal-semiconductor contact, bipolar junction transistors and field effect transistorsAnalyze and evaluate the performance of basic electronic devices device analysis, semiconductor analysis, electronic device design Semiconductor Physics, Diode - pn Junction and Metal Semiconductor Contact, Transistor - Field Effect Transistor and Bipolar Junction Transistor Physical Science and Engineering",4.4,40.0,Expert,Coursera,"Principles of basic electronic devices such as pn junctions, metal-semiconductor contacts, bipolar junction transistors, and field-effect transistors. Analyze and evaluate the performance of basic electronic devices through device analysis, semiconductor analysis, and electronic device design. Semiconductor physics, diodes - pn junctions and metal-semiconductor contacts, transistors - field-effect transistors and bipolar junction transistors. Physical science and engineering.",Semiconductor Devices Specialization
Hardware Description Languages for FPGA Design,"Explain the role of HDLs in design entry and verification for FPGAs and ASICsUtilize HDL software tools for FPGA development Designing FPGA Logic, Writing code in VHDL, Designing Test Benches, Writing Code in Verilog, Simulating FPGA Designs Basics of VHDL, VHDL Logic Design Techniques, Basics of Verilog, Verilog and System Verilog Design Techniques Physical Science and Engineering",4.4,36.0,Intermediate,Coursera,"Explain the role of HDLs in design entry and verification for FPGAs and ASICsUtilize HDL software tools for FPGA development Designing FPGA Logic, Writing code in VHDL, Designing Test Benches, Writing Code in Verilog, Simulating FPGA Designs Basics of VHDL, VHDL Logic Design Techniques, Basics of Verilog, Verilog and System Verilog Design Techniques Physical Science and Engineering",Hardware Description Languages for FPGA Design
Introduction to High-Throughput Materials Development,"Not specified Not specified Welcome, Introduction, Library Preparation, High-Throughput Characterization of Composition and Structure, High-Throughput Property Measurements, Applications Physical Science and Engineering",4.6,16.0,Intermediate,Coursera,"Not specified Not specified Welcome, Introduction, Library Preparation, High-Throughput Characterization of Composition and Structure, High-Throughput Property Measurements, Applications Physical Science and Engineering",Introduction to High-Throughput Materials Development
Introduction to Physical Chemistry,"Not specified Not specified Thermodynamics I, Thermodynamics II, Virtual Lab 1: Thermodynamics, Chemical Kinetics I, Chemical Kinetics II, Virtual Lab 2: Kinetics, Quantum Chemistry I, Virtual Lab 3: Particle in a Box, Quantum Chemistry II, Virtual Lab 4: Hydrogen Emission Spectroscopy Physical Science and Engineering",4.7,18.0,Not applicable,Coursera,"Not specified Not specified Thermodynamics I, Thermodynamics II, Virtual Lab 1: Thermodynamics, Chemical Kinetics I, Chemical Kinetics II, Virtual Lab 2: Kinetics, Quantum Chemistry I, Virtual Lab 3: Particle in a Box, Quantum Chemistry II, Virtual Lab 4: Hydrogen Emission Spectroscopy Physical Science and Engineering",Introduction to Physical Chemistry
Urban Air Mobility,"You will get an understanding of new mobility concepts and the influence of Urban Air Mobility on the whole transport system. Understanding why social acceptance plays such an important role, Analyse challenges and find solution concepts, Understanding new mobility concepts Introduction - What is Urban Air Mobility?, Urban Air Mobility from an Industry Perspective, Political perspectives, Demand Modeling for Urban Air Mobility, Aviation Management, Traffic Management for Urban Air Mobility, Urban Air Mobility and Urban Planning, Understanding the Acceptance of Urban Air Mobility, Air Mobility Trajectory Planning, Economics of Urban Air Mobility Physical Science and Engineering",4.6,16.0,Intermediate,Coursera,"You will get an understanding of new mobility concepts and the influence of Urban Air Mobility on the whole transport system. Understanding why social acceptance plays such an important role, Analyse challenges and find solution concepts, Understanding new mobility concepts Introduction - What is Urban Air Mobility?, Urban Air Mobility from an Industry Perspective, Political perspectives, Demand Modeling for Urban Air Mobility, Aviation Management, Traffic Management for Urban Air Mobility, Urban Air Mobility and Urban Planning, Understanding the Acceptance of Urban Air Mobility, Air Mobility Trajectory Planning, Economics of Urban Air Mobility Physical Science and Engineering",Urban Air Mobility
"Computers, Waves, Simulations: A Practical Introduction to Numerical Methods using Python","How to solve a partial differential equation using the finite-difference, the pseudospectral, or the linear (spectral) finite-element method.Understanding the limits of explicit space-time simulations due to the stability criterion and spatial and temporal sampling requirements.Strategies how to plan and setup sophisticated simulation tasks.Strategies how to avoid errors in simulation results.  Not specified Week 01 - Discrete World, Wave Physics, Computers, Week 02 The Finite-Difference Method - Taylor Operators, Week 03 The Finite-Difference Method - 1D Wave Equation - von Neumann Analysis, Week 04 The Finite-Difference Method in 2D - Numerical Anisotropy, Heterogeneous Media, Week 05 The Pseudospectral Method, Function Interpolation, Week 06 The Linear Finite-Element Method - Static Elasticity, Week 07 The Linear Finite-Element Method - Dynamic Elasticity, Week 08 The Spectral-Element Method - Lagrange Interpolation, Numerical Integration, Week 09 The Spectral Element Method - 1D Elastic Wave Equation, Convergence Test Physical Science and Engineering",4.7,35.0,Intermediate,Coursera,"How to solve a partial differential equation using the finite-difference, pseudospectral, or linear (spectral) finite-element method. Understanding the limitations of explicit space-time simulations due to stability criteria and spatial and temporal sampling requirements. Strategies for planning and setting up complex simulation tasks. Strategies for avoiding errors in simulation results. Topics covered include: Week 01 - Discrete World, Wave Physics, Computers, Week 02 - The Finite-Difference Method - Taylor Operators, Week 03 - The Finite-Difference Method - 1D Wave Equation - von Neumann Analysis, Week 04 - The Finite-Difference Method in 2D - Numerical Anisotropy, Heterogeneous Media, Week 05 - The Pseudospectral Method, Function Interpolation, Week 06 - The Linear Finite-Element Method - Static Elasticity, Week 07 - The Linear Finite-Element Method - Dynamic Elasticity, Week 08 - The Spectral-Element Method - Lagrange Interpolation, Numerical Integration, Week 09 - The Spectral Element Method - 1D Elastic Wave Equation, Convergence Test Physical Science and Engineering.","Computers, Waves, Simulations: A Practical Introduction to Numerical Methods using Python"
Managing Major Engineering Projects Specialization,"  Understand the key phases of a project life cycle and the main characteristics of major projects  Understand the key cost and time performance indicators of major projectsUnderstand the governance of major projects, its challenges and learn how governance informs project management  Understand major project financing and key financial indicators used in major project finance   Project Management, Engineering Projects, major projects, Engineering management Major Engineering Project Performance, Major Engineering Projects: Governance, Risk and Scope, Financing and Initiating Major Engineering Projects Physical Science and Engineering",4.7,80.0,Intermediate,Coursera,"  Understand the key phases of a project life cycle and the main characteristics of major projects  Understand the key cost and time performance indicators of major projectsUnderstand the governance of major projects, its challenges and learn how governance informs project management  Understand major project financing and key financial indicators used in major project finance   Project Management, Engineering Projects, major projects, Engineering management Major Engineering Project Performance, Major Engineering Projects: Governance, Risk and Scope, Financing and Initiating Major Engineering Projects Physical Science and Engineering",Managing Major Engineering Projects Specialization
Astrobiology and the Search for Extraterrestrial Life,"Not specified Biology, Solar Systems, Microbiology, Astrobiology Life and Its Origins, Life on Earth, Habitable Environments Elsewhere in our Solar System?, The Search for Habitable Exoplanets, Extraterrestrial Intelligence Physical Science and Engineering",4.8,11.0,Not applicable,Coursera,"No especificado Biología, Sistemas Solares, Microbiología, Astrobiología Vida y sus Orígenes, Vida en la Tierra, ¿Ambientes habitables en otro lugar de nuestro Sistema Solar?, La búsqueda de exoplanetas habitables, Inteligencia extraterrestre Ciencias físicas e ingeniería",Astrobiology and the Search for Extraterrestrial Life
Municipal Solid Waste Management in Developing Countries,"Not specified Energy, Economy, Natural Resources, Environmental Protection Physical Elements of Solid Waste Management , Physical Elements of Solid Waste Management : Lesson Choices, Governance Aspects of Solid Waste Management , Governance Aspects of Solid Waste Management : Lesson Choices, Organic waste treatment, Organic waste treatment: Lesson Choices, Special waste fractions\t, Special waste fractions\t: Lesson Choices, Strategic Issues and Planning in Solid Waste Management, Strategic Issues and Planning in Solid Waste Management: Lesson Choices Physical Science and Engineering",4.8,22.0,Intermediate,Coursera,"Energy, Economy, Natural Resources, Environmental Protection, Physical Elements of Solid Waste Management, Physical Elements of Solid Waste Management: Lesson Choices, Governance Aspects of Solid Waste Management, Governance Aspects of Solid Waste Management: Lesson Choices, Organic Waste Treatment, Organic Waste Treatment: Lesson Choices, Special Waste Fractions, Special Waste Fractions: Lesson Choices, Strategic Issues and Planning in Solid Waste Management, Strategic Issues and Planning in Solid Waste Management: Lesson Choices, Physical Science and Engineering",Municipal Solid Waste Management in Developing Countries
Design of Industrial Piping Systems Specialization,"Learners can predict optimum pipe diameter for a given service(s) & its operating conditions for both single-phase and two-phase liquid flow to meet pressure drop constraints. Learners can determine the pipe wall thickness for a given process condition, select the appropriate schedule number, and develop the pipe material specification sheet. Learners can perform the flexibility analysis and recommend the optimum pipe routing with proper pipe supports and hangers. Working professionals with B.Tech./B.E., in Mechanical / Chemical / Petro-Chemical/ Instrumentation, Graduate students of Mechanical / Chemical / Petro-Chemical/ Instrumentation, Undergraduate students of Mechanical / Chemical / Petro-Chemical/ Instrumentation who are in either Vth, VIth, VIIth or VIIIth semester, Knowledge of Fluid Mechanics, Diploma students of Mechanical / Chemical / Petro-Chemical/ Instrumentation, 1.\tKnowledge of Fluid Mechanics, and Strength of Materials, 3.\tGraduate students of Mechanical / Chemical / Petro-Chemical/ Instrumentation, 4.\tWorking professionals with B.Tech./B.E., in Mechanical / Chemical / Petro-Chemical/ Instrumentation, 5.\tDiploma students of Mechanical / Chemical / Petro-Chemical/ Instrumentation, 2.\tUndergraduate students of Mechanical / Chemical / Petro-Chemical/ Instrumentation, Knowledge of Fluid Mechanics, Strength of materials, Undergraduate students of Mechanical / Chemical / Petro-Chemical/ Instrumentation Single-Phase Pipe Hydraulics and Pipe Sizing, Two-Phase Pipe Hydraulics and Pipe Sizing, Pipe Material Specification , ASME B31 Series and Pipeline Construction Physical Science and Engineering",0.0,40.0,Intermediate,Coursera,"Learners can predict the optimum pipe diameter for a given service and its operating conditions for both single-phase and two-phase liquid flow in order to meet pressure drop constraints. They can also determine the pipe wall thickness for a given process condition, select the appropriate schedule number, and develop the pipe material specification sheet. Additionally, learners can perform flexibility analysis and recommend the optimum pipe routing with proper pipe supports and hangers. This course is suitable for working professionals with a B.Tech./B.E. degree in Mechanical, Chemical, Petro-Chemical, or Instrumentation, graduate students in these fields, undergraduate students in their Vth, VIth, VIIth, or VIIIth semester, and diploma students with knowledge of Fluid Mechanics and Strength of Materials. Topics covered include Single-Phase Pipe Hydraulics and Pipe Sizing, Two-Phase Pipe Hydraulics and Pipe Sizing, Pipe Material Specification, ASME B31 Series, and Pipeline Construction in Physical Science and Engineering.",Design of Industrial Piping Systems Specialization
