Course Title,Course Info,Course Rating,Course Duration,Course Level,Source,Course Info Translate,Course Title Translate
Human Resource Management: HR for People Managers Specialization,"Understanding alternative approaches to managing human resources and appreciating the diversity of factors that motivate workersApplying best practices for hiring and rewarding employees, and for managing employee performanceAvoiding key mistakes in (mis)managing human resources Onboarding, Human Resources (HR), Performance Management, interviewing, managing people Preparing to Manage Human Resources, Recruiting, Hiring, and Onboarding Employees, Managing Employee Performance, Managing Employee Compensation, Human Resources Management Capstone: HR for People Managers Personal Development",4.8,80.0,Beginner,Coursera,"Understanding different methods of managing human resources and recognizing the various factors that drive employee motivation. Implementing effective strategies for hiring, rewarding, and evaluating employees, while also avoiding common mistakes in HR management. Topics include onboarding, HR, performance management, interviewing, and people management. Preparing to oversee HR, recruiting, hiring, and onboarding employees, managing employee performance, compensating employees, and HR management. Culminating in a capstone project focused on HR for people managers and personal development.",Human Resource Management: HR for People Managers Specialization
Developing an Agile Team,"Not specified Not specified Social Psychology, Agile Team, Agile Team Collaboration, Agile Team Leadership Personal Development",4.8,8.0,Beginner,Coursera,"No especificado No especificado Psicología Social, Equipo Ágil, Colaboración de Equipos Ágiles, Liderazgo de Equipos Ágiles Desarrollo Personal",Developing an Agile Team
People Analytics,"Not specified Talent Management, Analytics, Performance Management, Collaboration Introduction to People Analytics, and Performance Evaluation, Staffing, Collaboration, Talent Management and Future Directions Personal Development",4.6,8.0,Not applicable,Coursera,"No especificado Gestión del talento, Analítica, Gestión del rendimiento, Introducción a la colaboración de análisis de personas y evaluación del rendimiento, Dotación de personal, Colaboración, Gestión del talento y direcciones futuras Desarrollo personal",People Analytics
Feedback and Coaching For Everyone Specialization,"Not specified Soft skills, Professional Skills Giving Feedback, Managing Up , Building Relationships with Communication, Avoiding Bias  Personal Development",0.0,40.0,Beginner,Coursera,"Soft skills, professional skills, giving feedback, managing up, building relationships through communication, avoiding bias, personal development.",Feedback and Coaching For Everyone Specialization
Desarrolla tu líder,"Identificar las características y atributos del proceso de liderazgo.Incorporar casos de estudio de aplicación práctica y entender la relación entre los conceptos de “liderazgo”, ""poder"" y ""autoridad"".Examinar cómo influyen los rasgos personales en los aspectos biológicos de cada individuo. Business Administration, Professional Development, Business, Human Development, Leadership And Management Los fundamentos, Las tendencias individuales, El liderazgo situacional y los equipos de trabajo, El liderazgo y el poder Personal Development",4.9,11.0,Beginner,Coursera,"Identify the characteristics and attributes of the leadership process. Incorporate practical application case studies and understand the relationship between the concepts of ""leadership"", ""power"", and ""authority"". Examine how personal traits influence the biological aspects of each individual. Business Administration, Professional Development, Business, Human Development, Leadership And Management The fundamentals, Individual trends, Situational leadership and work teams, Leadership and personal power.",Develop your leader
Ser más creativos,"Not specified Personal Advertisement, Professional, Persona (User Experience), Innovation Acerquémonos a la Creatividad, ¿Qué detiene y qué promueve la creatividad?, Estrategias para ser más creativos, Heurísticas y modelos, Algunos Elementos Sorprendentes Personal Development",4.7,5.0,Not applicable,Coursera,"Not specified Personal Advertisement, Professional, Persona (User Experience), Innovation Acerquémonos a la Creatividad, ¿Qué detiene y qué promueve la creatividad?, Estrategias para ser más creativos, Heurísticas y modelos, Algunos Elementos Sorprendentes Personal Development",Be more creative
Pensamiento sistémico,"Not specified Not specified Una breve historia de los sistemas, Conceptos, Sistemas, Una visión sistémica Personal Development",4.7,5.0,Not applicable,Coursera,"A brief history of systems, Concepts, Systems, A systemic vision Personal Development",Systemic thinking
Emotional and Social Intelligence,"Not specified Not specified Introduction to Emotional and Social Awareness - ESI, Self-Management, Social Awareness and Empathy, Relationship Management Personal Development",4.7,12.0,Beginner,Coursera,"Not specified Not specified Introduction to Emotional and Social Awareness - ESI, Self-Management, Social Awareness and Empathy, Relationship Management Personal Development",Emotional and Social Intelligence
Present with Purpose: Create/Deliver Effective Presentations,"Create presentations that will leave a lasting impact on your audiencePresent and deliver with confidence to engage your audience Use techniques like storytelling, props, and discussion to enhance your presentationsManage nerves effectively; Plan for and deal with unexpected problems that may arise Communication, Presentation Skills, Soft skills, Creative Skills, Powerpoint Skills Present with Purpose Personal Development",4.6,2.0,Beginner,Coursera,"Create presentations that will leave a lasting impact on your audiencePresent and deliver with confidence to engage your audience Use techniques like storytelling, props, and discussion to enhance your presentationsManage nerves effectively; Plan for and deal with unexpected problems that may arise Communication, Presentation Skills, Soft skills, Creative Skills, Powerpoint Skills Present with Purpose Personal Development",Present with Purpose: Create/Deliver Effective Presentations
Agile Development Specialization,"How to determine what's valuable to a user early by focusing your team on testable narratives and creating a strong shared perspective  How to drive a focus on outcomes over outputs by facilitating a culture of experimentation and a test-driven, results-driven approach to agileHow to charter and focus an analytics (and data science) program that enhances your core objectivesHow to iteratively identify and test the right agile practices from leading frameworks like scrum, XP, and kanban to your team's work hypothesis-driven development, agile, Lean Startup, User Experience (UX), Design Thinking Agile Meets Design Thinking, Hypothesis-Driven Development, Product Analytics and AI, Managing an Agile Team Personal Development",4.7,40.0,Beginner,Coursera,"How to determine what's valuable to a user early by focusing your team on testable narratives and creating a strong shared perspective  How to drive a focus on outcomes over outputs by facilitating a culture of experimentation and a test-driven, results-driven approach to agileHow to charter and focus an analytics (and data science) program that enhances your core objectivesHow to iteratively identify and test the right agile practices from leading frameworks like scrum, XP, and kanban to your team's work hypothesis-driven development, agile, Lean Startup, User Experience (UX), Design Thinking Agile Meets Design Thinking, Hypothesis-Driven Development, Product Analytics and AI, Managing an Agile Team Personal Development",Agile Development Specialization
Culture-Driven Team Building Specialization,"Recognize aspects of team culture to maximize team performance. Draw out the collective wisdom of diverse  teams and create a team culture of continuous learning. Handle conflict. Establish common ground rules.  Team Building, Intercultural Communication, Collaboration, Team dynamics, Organizational Anthropology The Power of Team Culture, Building High-Performing Teams, Optimizing Diversity on Teams, Creating a Team Culture of Continuous Learning, Culture-Driven Team Building Capstone  Personal Development",4.6,40.0,Beginner,Coursera,"Recognize aspects of team culture to maximize team performance. Draw out the collective wisdom of diverse  teams and create a team culture of continuous learning. Handle conflict. Establish common ground rules.  Team Building, Intercultural Communication, Collaboration, Team dynamics, Organizational Anthropology The Power of Team Culture, Building High-Performing Teams, Optimizing Diversity on Teams, Creating a Team Culture of Continuous Learning, Culture-Driven Team Building Capstone  Personal Development",Culture-Driven Team Building Specialization
