Course Title,Course Info,Course Rating,Course Duration,Course Level,Source,Course Info Translate,Course Title Translate
Introduction to Model-Based Systems Engineering,"Not specified Cloud Computing, Model-Based System Engineering, MBSE, PLM Software An Introduction to Model-Based Systems Engineering, Systems Engineering and MBSE, iMBSE, Methodology, and an Introduction to System Modeling Languages, System Modeling Language (SysML), System Modeling Language and Tools and the MBSE Solution Computer Science",4.1,16.0,Beginner,Coursera,"No especificado Computación en la Nube, Ingeniería de Sistemas Basada en Modelos, MBSE, Software PLM Una Introducción a la Ingeniería de Sistemas Basada en Modelos, Ingeniería de Sistemas y MBSE, iMBSE, Metodología, y una Introducción a los Lenguajes de Modelado de Sistemas, Lenguaje de Modelado de Sistemas (SysML), Lenguaje de Modelado de Sistemas y Herramientas y la Solución MBSE Ciencia de la Computación",Introduction to Model-Based Systems Engineering
Excel/VBA for Creative Problem Solving Specialization,"Not specified Microsoft Excel Vba, Computer Programming, Problem Solving, Arrays Excel/VBA for Creative Problem Solving, Part 1, Excel/VBA for Creative Problem Solving, Part 2, Excel/VBA for Creative Problem Solving, Part 3 (Projects) Computer Science",4.8,40.0,Beginner,Coursera,"Not specified Microsoft Excel Vba, Computer Programming, Problem Solving, Arrays Excel/VBA for Creative Problem Solving, Part 1, Excel/VBA for Creative Problem Solving, Part 2, Excel/VBA for Creative Problem Solving, Part 3 (Projects) Computer Science",Excel/VBA for Creative Problem Solving Specialization
Java Programming: Solving Problems with Software,"Not specified Algorithms, Problem Solving, String (Computer Science), Java Programming Introduction to the Course, Fundamental Java Syntax and Semantics, Strings in Java, CSV Files and Basic Statistics in Java, MiniProject: Baby Names Computer Science",4.6,17.0,Beginner,Coursera,"Not specified Algorithms, Problem Solving, String (Computer Science), Java Programming Introduction to the Course, Fundamental Java Syntax and Semantics, Strings in Java, CSV Files and Basic Statistics in Java, MiniProject: Baby Names Computer Science",Java Programming: Solving Problems with Software
IBM AI Engineering Professional Certificate,"Describe machine learning, deep learning, neural networks, and ML algorithms like classification, regression, clustering, and dimensional reduction Implement supervised and unsupervised machine learning models using SciPy and ScikitLearn Deploy machine learning algorithms and pipelines on Apache Spark Build deep learning models and neural networks using Keras, PyTorch, and TensorFlow  Image Processing, Artificial Intelligence (AI), Opencv, Computer Vision, Deep Learning, Machine Learning, regression, Hierarchical Clustering, classification, SciPy and scikit-learn, Artificial Neural Network, keras Machine Learning with Python, Introduction to Deep Learning & Neural Networks with Keras, Introduction to Computer Vision and Image Processing, Deep Neural Networks with PyTorch, Building Deep Learning Models with TensorFlow, AI Capstone Project with Deep Learning  Computer Science",4.5,80.0,Intermediate,Coursera,"Describe machine learning, deep learning, neural networks, and ML algorithms like classification, regression, clustering, and dimensional reduction Implement supervised and unsupervised machine learning models using SciPy and ScikitLearn Deploy machine learning algorithms and pipelines on Apache Spark Build deep learning models and neural networks using Keras, PyTorch, and TensorFlow  Image Processing, Artificial Intelligence (AI), Opencv, Computer Vision, Deep Learning, Machine Learning, regression, Hierarchical Clustering, classification, SciPy and scikit-learn, Artificial Neural Network, keras Machine Learning with Python, Introduction to Deep Learning & Neural Networks with Keras, Introduction to Computer Vision and Image Processing, Deep Neural Networks with PyTorch, Building Deep Learning Models with TensorFlow, AI Capstone Project with Deep Learning  Computer Science",IBM AI Engineering Professional Certificate
Embedded Software and Hardware Architecture,"Describe relationship between ARM architecture and C-Programming memory interactionsConstruct specialized embedded system data structures including circular buffers, LIFO Buffers, and Linked ListsIdentify techniques to manipulate memory Not specified  Interfacing C-Programs with ARM Core Microcontrollers, Manipulating Memory, Designing Embedded Data Structures Computer Science",4.5,4.0,Intermediate,Coursera,"The relationship between ARM architecture and C-Programming memory interactions involves constructing specialized embedded system data structures such as circular buffers, LIFO buffers, and linked lists. Techniques to manipulate memory are identified in the context of interfacing C-Programs with ARM core microcontrollers, manipulating memory, and designing embedded data structures in computer science.",Embedded Software and Hardware Architecture
Microsoft Azure Fundamentals AZ-900 Exam Prep Specialization,"Not specified Application Design, Microsoft Azure, Cloud Computing, Cloud Governance Strategy, Test Preparation, Cloud Computing Security, Artificial Intelligence (AI), Internet Of Things (IOT) Introduction to Microsoft Azure Cloud Services, Microsoft Azure Management Tools and Security Solutions, Microsoft Azure Services and Lifecycles, Preparing for the AZ-900 Microsoft Azure Fundamentals Exam Computer Science",4.6,40.0,Beginner,Coursera,"Not specified Application Design, Microsoft Azure, Cloud Computing, Cloud Governance Strategy, Test Preparation, Cloud Computing Security, Artificial Intelligence (AI), Internet Of Things (IOT) Introduction to Microsoft Azure Cloud Services, Microsoft Azure Management Tools and Security Solutions, Microsoft Azure Services and Lifecycles, Preparing for the AZ-900 Microsoft Azure Fundamentals Exam Computer Science",Microsoft Azure Fundamentals AZ-900 Exam Prep Specialization
ASP.NET for Experienced Developers Specialization,"Master C# fundamentals and advanced topics like LINQ, delegates, inheritance, and encapsulation to build robust .NET applications. Learn backend development using ASP.NET, creating scalable applications using ASP.NET Core, MVC, and Web API for diverse use cases. Understand microservices architecture with .NET Core, focusing on design, implementation, and integration with databases and systems.  Learn to utilize Docker for .NET Core applications, streamlining deployment processes and managing applications efficiently.  Heterogeneous Database System, Asp.Net Core, Microservices Architecture, Model–View–Controller (MVC), Docker, Dockerfile Creation, Front And Back Ends, Devops, C Sharp (C#) (Programming Language), asp.net, Object-Oriented Programming (OOP), RESTful APIs C# for .NET Developers, Backend Development using ASP.Net, Microservices and Deployment by using ASP.NET Computer Science",3.9,60.0,Intermediate,Coursera,"Master C# fundamentals and advanced topics like LINQ, delegates, inheritance, and encapsulation to build robust .NET applications. Learn backend development using ASP.NET, creating scalable applications using ASP.NET Core, MVC, and Web API for diverse use cases. Understand microservices architecture with .NET Core, focusing on design, implementation, and integration with databases and systems.  Learn to utilize Docker for .NET Core applications, streamlining deployment processes and managing applications efficiently.  Heterogeneous Database System, Asp.Net Core, Microservices Architecture, Model–View–Controller (MVC), Docker, Dockerfile Creation, Front And Back Ends, Devops, C Sharp (C#) (Programming Language), asp.net, Object-Oriented Programming (OOP), RESTful APIs C# for .NET Developers, Backend Development using ASP.Net, Microservices and Deployment by using ASP.NET Computer Science",ASP.NET for Experienced Developers Specialization
Mathematics for Machine Learning and Data Science Specialization,"A deep understanding of the math that makes machine learning algorithms work.Statistical techniques that empower you to get more out of your data analysis.Fundamental skills that employers desire, helping you ace machine learning interview questions and land your dream job. Bayesian Statistics, Mathematics, Linear Regression, Machine Learning, Probability Linear Algebra for Machine Learning and Data Science, Calculus for Machine Learning and Data Science, Probability & Statistics for Machine Learning & Data Science Computer Science",4.6,60.0,Beginner,Coursera,"Una comprensión profunda de las matemáticas que hacen que los algoritmos de aprendizaje automático funcionen. Técnicas estadísticas que te permiten obtener más de tu análisis de datos. Habilidades fundamentales que los empleadores desean, ayudándote a destacar en las entrevistas de aprendizaje automático y conseguir el trabajo de tus sueños. Estadísticas Bayesianas, Matemáticas, Regresión Lineal, Aprendizaje Automático, Álgebra Lineal para Aprendizaje Automático y Ciencia de Datos, Cálculo para Aprendizaje Automático y Ciencia de Datos, Probabilidad y Estadística para Aprendizaje Automático y Ciencia de Datos, Ciencias de la Computación.",Mathematics for Machine Learning and Data Science Specialization
Data Engineering Foundations Specialization,"Working knowledge of Data Engineering Ecosystem and Lifecycle. Viewpoints and tips from Data professionals on starting a career in this domain.Python programming basics including data structures, logic, working with files, invoking APIs, using libraries such as Pandas and Numpy, doing ETL.Relational Database fundamentals including Database Design, Creating Schemas, Tables, Constraints, and working with MySQL, PostgreSQL & IBM Db2.SQL query language, SELECT, INSERT, UPDATE, DELETE statements, database functions, stored procs, working with multiple tables, JOINs, & transactions. Extraction, Transformation And Loading (ETL), Python Programming, Relational Database Management System (RDBMS), Information Engineering, SQL Introduction to Data Engineering, Python for Data Science, AI & Development, Python Project for Data Engineering, Introduction to Relational Databases (RDBMS), Databases and SQL for Data Science with Python Computer Science",4.7,80.0,Beginner,Coursera,"Working knowledge of Data Engineering Ecosystem and Lifecycle. Viewpoints and tips from Data professionals on starting a career in this domain.Python programming basics including data structures, logic, working with files, invoking APIs, using libraries such as Pandas and Numpy, doing ETL.Relational Database fundamentals including Database Design, Creating Schemas, Tables, Constraints, and working with MySQL, PostgreSQL & IBM Db2.SQL query language, SELECT, INSERT, UPDATE, DELETE statements, database functions, stored procs, working with multiple tables, JOINs, & transactions. Extraction, Transformation And Loading (ETL), Python Programming, Relational Database Management System (RDBMS), Information Engineering, SQL Introduction to Data Engineering, Python for Data Science, AI & Development, Python Project for Data Engineering, Introduction to Relational Databases (RDBMS), Databases and SQL for Data Science with Python Computer Science",Data Engineering Foundations Specialization
Data Analysis and Visualization Foundations Specialization,"Describe the data ecosystem, tasks a Data Analyst performs, as well as skills and tools required for successful data analysisExplain basic functionality of spreadsheets and utilize Excel to perform a variety of data analysis tasks like data wrangling and data miningList various types of charts and plots and create them in Excel as well as work with Cognos Analytics to generate interactive dashboards Data Analysis, Microsoft Excel, IBM Cognos Analytics, Dashboard, Data Visualization, Data Structure, cognos analytics, Pivot Charts, Data Science, Spreadsheet, Pivot Table Introduction to Data Analytics, Excel Basics for Data Analysis, Data Visualization and Dashboards with Excel and Cognos, Assessment for Data Analysis and Visualization Foundations Computer Science",4.8,40.0,Beginner,Coursera,"Describe the data ecosystem, tasks a Data Analyst performs, as well as skills and tools required for successful data analysisExplain basic functionality of spreadsheets and utilize Excel to perform a variety of data analysis tasks like data wrangling and data miningList various types of charts and plots and create them in Excel as well as work with Cognos Analytics to generate interactive dashboards Data Analysis, Microsoft Excel, IBM Cognos Analytics, Dashboard, Data Visualization, Data Structure, cognos analytics, Pivot Charts, Data Science, Spreadsheet, Pivot Table Introduction to Data Analytics, Excel Basics for Data Analysis, Data Visualization and Dashboards with Excel and Cognos, Assessment for Data Analysis and Visualization Foundations Computer Science",Data Analysis and Visualization Foundations Specialization
