Course Title,Course Info,Course Rating,Course Duration,Course Level,Source,Course Info Translate,Course Title Translate
Public Sector Efficiency: Optimizing Business Processes,"Comprehend the significance of Business Process Optimization in the public sector and its impact on service delivery and organizational performance.Utilize a structured framework to analyze and optimize existing business processes for increased efficiency and effectiveness.Apply best practices in planning and executing process improvements aligned with government or public sector organizational goals.Implement technology and automation to streamline workflows and enhance process efficiency. Organizational Performance, organizational skills, Business Process, Automation PUBLIC SECTOR EFFICIENCY - OPTIMIZING BUSINESS PROCESSES Business",0.0,2.0,Beginner,Coursera,"Comprehend the significance of Business Process Optimization in the public sector and its impact on service delivery and organizational performance.Utilize a structured framework to analyze and optimize existing business processes for increased efficiency and effectiveness.Apply best practices in planning and executing process improvements aligned with government or public sector organizational goals.Implement technology and automation to streamline workflows and enhance process efficiency. Organizational Performance, organizational skills, Business Process, Automation PUBLIC SECTOR EFFICIENCY - OPTIMIZING BUSINESS PROCESSES Business",Public Sector Efficiency: Optimizing Business Processes
Protecting Business Innovations via Strategy,"Not specified New Business Development, International Business Strategy, Business Strategy, Intellectual Property Resource based Strategy, Move Fast or Get Passed, E-Commerce Strategy, Changing the rules Business",4.7,11.0,Beginner,Coursera,The text is already in English.,Protecting Business Innovations via Strategy
Business Partner e o Papel dos Agentes na Gestão de RH,"Not specified Modelo de Business Partner, Liderança no modelo de Business Partner, Implementação do modelo de Business Partner Módulo 1 | Modelo de Business Partner, A Implementação e Desafios do Modelo de Business Partner, A Liderança no Modelo de Business Partner, Exemplificando o Alinhamento Estratégico de Práticas Específicas Business",4.7,26.0,Beginner,Coursera,"Not specified Business Partner model, Leadership in the Business Partner model, Implementation of the Business Partner model Module 1 | Business Partner model, Implementation and Challenges of the Business Partner model, Leadership in the Business Partner model, Exemplifying the Strategic Alignment of Specific Business Practices",Business Partner and the Role of Agents in HR Management
Create Content on Pinterest for Business,"Create Pinterest Business Account/Claim your Website.Create different types of Pins/Boards on PinterestShare Pinterest pins with others. Social Media Marketing, Marketing, Social Media Platforms, Business Strategy, Pinterest Learn step-by-step Business",0.0,1.0,Beginner,Coursera,"Create Pinterest Business Account/Claim your Website.Create different types of Pins/Boards on PinterestShare Pinterest pins with others. Social Media Marketing, Marketing, Social Media Platforms, Business Strategy, Pinterest Learn step-by-step Business",Create Content on Pinterest for Business
"Grow to Greatness: Smart Growth for Private Businesses, Part II","Different types of costs and how they are represented graphicallyCost-volume-profit analyses to answer questions around breaking even and generating profitHow to calculate and allocate overhead rates within both traditional and activity-based cost allocation systemsHow to distinguish costs and benefits that are relevant from those that are irrelevant for a given management decision Business Intelligence, Strategic Management, Innovation, Planning, Entrepreneurship Course Overview, The Entrepreneur Must Grow Too!, The Secret of High Performance is High Employee Engagement, Growth is Much More Than a Strategy—It Requires a System, Building a Senior Management Team, Final Exam Business",4.8,9.0,Not applicable,Coursera,"Different types of costs and how they are represented graphicallyCost-volume-profit analyses to answer questions around breaking even and generating profitHow to calculate and allocate overhead rates within both traditional and activity-based cost allocation systemsHow to distinguish costs and benefits that are relevant from those that are irrelevant for a given management decision Business Intelligence, Strategic Management, Innovation, Planning, Entrepreneurship Course Overview, The Entrepreneur Must Grow Too!, The Secret of High Performance is High Employee Engagement, Growth is Much More Than a Strategy—It Requires a System, Building a Senior Management Team, Final Exam Business","Grow to Greatness: Smart Growth for Private Businesses, Part II"
Action-Driven Business Plan: From the ‘Classroom’ to the World,"Not specified Not specified Welcome & Make a Plan, Zoom Out, Zoom In, Shape the Business Design - part 1, Shape the Business Design - part 2, Write a Business Plan Business",4.9,10.0,Not applicable,Coursera,"Not specified Not specified Welcome & Make a Plan, Zoom Out, Zoom In, Shape the Business Design - part 1, Shape the Business Design - part 2, Write a Business Plan Business",Action-Driven Business Plan: From the ‘Classroom’ to the World
How to optimize your Instagram Business Profile,"Create an attractive profile for your Instagram business account. Social Media Marketing, Marketing Strategy, Social Media Platforms Learn step-by-step Business",0.0,2.0,Beginner,Coursera,"Create an attractive profile for your Instagram business account. Social Media Marketing, Marketing Strategy, Social Media Platforms Learn step-by-step Business",How to optimize your Instagram Business Profile
طرق تقييم الشركات | Business Valuation Approaches,"Not specified معرفة Business & Accounting Analysis, التمكن من إجراء forecast of future benefits, تعلم كيفية اتخاذ القرار من خلال قائمة الـ financial statement طرق تقييم الشركات (Business Valuation Approaches) Business",0.0,1.0,Beginner,Coursera,"Not specified knowledge of Business & Accounting Analysis, proficiency in conducting forecast of future benefits, learning how to make decisions through financial statement analysis, methods of evaluating companies (Business Valuation Approaches) Business",Methods of evaluating companies | Business Valuation Approaches
Fundamentals of entrepreneurship in the family business,"Understand and apply best practices in the family businessDistinguish entrepreneurship and innovation modelsImplement entrepreneurship trends in your venture Not specified Topic 1. A Family Business Venture: The STEP Model, Topic 2. Mega Trends and Entrepreneurship, Topic 3. Ideation and Market Validation, Topic 4. Value Proposition, Topic 5. Business Pitch (Family and Non-Family Investors) Business",0.0,23.0,Expert,Coursera,"Understand and apply best practices in the family businessDistinguish entrepreneurship and innovation modelsImplement entrepreneurship trends in your venture Not specified Topic 1. A Family Business Venture: The STEP Model, Topic 2. Mega Trends and Entrepreneurship, Topic 3. Ideation and Market Validation, Topic 4. Value Proposition, Topic 5. Business Pitch (Family and Non-Family Investors) Business",Fundamentals of entrepreneurship in the family business
 Solving Business Problems with Spreadsheet Modeling,"Not specified Not specified Introduction to Capstone and Correlation Analysis, Sensitivity Analysis, Final Project Business",0.0,12.0,Not applicable,Coursera,"Not specified Not specified Introduction to Capstone and Correlation Analysis, Sensitivity Analysis, Final Project Business", Solving Business Problems with Spreadsheet Modeling
