Course Title,Course Info,Course Rating,Course Duration,Course Level,Source,Course Info Translate,Course Title Translate
Cities are back in town : urban sociology for a globalizing urban world ,"Not specified Not specified Week 1 – Introduction, Week 2 – European City, Week 3 – Colonial City, Week 4 – Industrial City, Week 5 – Metropolis, Week 6 – Global City, Week 7 – Post Metropolis, Week 8 – Digital City Social Sciences",4.4,11.0,Beginner,Coursera,"Not specified Not specified Week 1 – Introduction, Week 2 – European City, Week 3 – Colonial City, Week 4 – Industrial City, Week 5 – Metropolis, Week 6 – Global City, Week 7 – Post Metropolis, Week 8 – Digital City Social Sciences",Cities are back in town : urban sociology for a globalizing urban world 
"Strategic Leadership: Impact, Change, and Decision-Making Specialization","How to understand common leadership mistakes and keep them from happening to youHow to balance the rational and the emotional to make the best possible decisionsHow to crack the code on talent to accelerate your career and help other people get betterHow to become a wise leader at work, at home, and in life Career Fulfillment, Self Awareness, reflection, Personal Development Why Smart Executives Fail: Common Mistakes & Warning Signs, Decision-Making: Blending Art & Science, Superbosses: Managing Talent & Leadership, Lessons on Wisdom: Personal Leadership for Your Life Social Sciences",4.9,80.0,Beginner,Coursera,"How to understand common leadership mistakes and prevent them from happening to you. How to balance rationality and emotions to make the best decisions possible. How to unlock the secrets of talent to advance your career and help others improve. How to become a wise leader in the workplace, at home, and in life. Career fulfillment, self-awareness, reflection, personal development. Why smart executives fail: common mistakes and warning signs. Decision-making: combining art and science. Superbosses: managing talent and leadership. Lessons on wisdom: personal leadership for your life. Social sciences.","Strategic Leadership: Impact, Change, and Decision-Making Specialization"
Community Organizing for Social Justice ,"Examine core concepts of social justice. Develop practical steps to set goals and priorities, assess community assets and needs, develop action plans, and build support for implementation.  Community, Social Justice Introduction to Community Organizing for Social Justice, Strengthening Diversity,  Intergroup Dialogue, Organizing & Planning for Community Change, Strategy, What Matters Most? Social Sciences",4.8,7.0,Beginner,Coursera,"Examine fundamental principles of social justice. Create practical steps to establish goals and priorities, evaluate community resources and needs, create action plans, and garner support for implementation. Community, Social Justice Introduction to Community Organizing for Social Justice, Strengthening Diversity, Intergroup Dialogue, Organizing & Planning for Community Change, Strategy, What Matters Most? Social Sciences",Community Organizing for Social Justice 
The Science of Well-Being for Teens,"You will learn what psychological science has to say about living the good lifeYou will engage in evidence-based behaviors proven to boost mood Not specified Misconceptions about happiness, Biases that get in the way of happiness, Behaviors that make us happy, Thoughts that make us happy , Feelings that make us happy, Achieving happiness goals Social Sciences",4.9,12.0,Beginner,Coursera,"In this course, you will learn about what psychological science says about living a fulfilling life. You will also learn evidence-based behaviors that have been proven to improve mood. Topics covered include misconceptions about happiness, biases that hinder happiness, behaviors that promote happiness, thoughts and feelings that contribute to happiness, and achieving happiness goals in the social sciences.",The Science of Well-Being for Teens
US Social Services Compared,"Describe  the development of the welfare state across      developed nations distinguishing choices made in      education, health or pensions Evaluate the structures of the US welfare state to explain US      choices in education, health or pensions of those seeking aid.       Differentiate      the public and private welfare state to interpret structures of education, health or pensions to those seeking services       Honors:  Summarize       and critique readings to professionally interpret them.  Identify       a topic to a       professional memo.            -\tFormulate practice strategies to overcome the historic biases in social welfare programs, -\tDistinguish the values inherent in each social policy initiative, -\tCritique components of a social policy based on their effectiveness at meeting the goals stated in the initiative, -\tDifferentiate alternative approaches to social policy problems, -\tDevelop social welfare policy analysis and reform proposals Social Policy and the Welfare State , Social Policy Structure , Comparing U.S. Social Policy with Europe: Investment & Effects, Does the Welfare State Enrich Us of Impoverish Us? Social Sciences",4.8,16.0,Beginner,Coursera,"Describe  the development of the welfare state across      developed nations distinguishing choices made in      education, health or pensions Evaluate the structures of the US welfare state to explain US      choices in education, health or pensions of those seeking aid.       Differentiate      the public and private welfare state to interpret structures of education, health or pensions to those seeking services       Honors:  Summarize       and critique readings to professionally interpret them.  Identify       a topic to a       professional memo.            -\tFormulate practice strategies to overcome the historic biases in social welfare programs, -\tDistinguish the values inherent in each social policy initiative, -\tCritique components of a social policy based on their effectiveness at meeting the goals stated in the initiative, -\tDifferentiate alternative approaches to social policy problems, -\tDevelop social welfare policy analysis and reform proposals Social Policy and the Welfare State , Social Policy Structure , Comparing U.S. Social Policy with Europe: Investment & Effects, Does the Welfare State Enrich Us of Impoverish Us? Social Sciences",US Social Services Compared
Understanding the Brain: The Neurobiology of Everyday Life,"Not specified Brain, Neurological Disorders, Neurobiology, Neurology The Nervous System, Neural Communication + Embodied Emotion, Neuroanatomy, Perception and Vision, Hearing, The Vestibular Sense & Gaze, Voluntary Movements, Motor Modulation, Homeostasis, Abstract Function Social Sciences",4.9,27.0,Beginner,Coursera,"Not specified Brain, Neurological Disorders, Neurobiology, Neurology The Nervous System, Neural Communication + Embodied Emotion, Neuroanatomy, Perception and Vision, Hearing, The Vestibular Sense & Gaze, Voluntary Movements, Motor Modulation, Homeostasis, Abstract Function Social Sciences",Understanding the Brain: The Neurobiology of Everyday Life
Connected Leadership,"Improve your ability to get the most out of life  Strengthen your leadership toolkit  Practice and apply systems thinking to plan for change   Team Building, Emotional Intelligence, Team Management, Systems Thinking, Leadership And Management Introduction to Connected Leadership, Self | The Purpose-Driven, Connected Leader, Teams | Unlocking the Potential of Working Together, System | Helping to Improve the World Around Us, Looking Forward | Connected Leadership - Using the Toolkit: From Self To System Social Sciences",4.8,31.0,Beginner,Coursera,"Improve your ability to get the most out of life  Strengthen your leadership toolkit  Practice and apply systems thinking to plan for change   Team Building, Emotional Intelligence, Team Management, Systems Thinking, Leadership And Management Introduction to Connected Leadership, Self | The Purpose-Driven, Connected Leader, Teams | Unlocking the Potential of Working Together, System | Helping to Improve the World Around Us, Looking Forward | Connected Leadership - Using the Toolkit: From Self To System Social Sciences",Connected Leadership
International migrations: a global issue,"Not specified Not specified Session 1: Globalization of migration, Session 2: Refugees and environmentally displaced persons, Session 3: Europe, Session 4: France and international migration flows , Session 5: Citizenship and migration, Session 6: Borders, Session 7: Right to mobility and global governance, Bibliography, Maps Social Sciences",4.7,22.0,Beginner,Coursera,"Session 1: Globalization of migration
Session 2: Refugees and environmentally displaced persons
Session 3: Europe
Session 4: France and international migration flows
Session 5: Citizenship and migration
Session 6: Borders
Session 7: Right to mobility and global governance
Bibliography
Maps Social Sciences",International migrations: a global issue
Biostatistics in Public Health  Specialization,"Calculate summary statistics from public health and biomedical data Interpret written and visual presentations of statistical dataEvaluate and interpret results of various regression methodsChoose the most appropriate statistical method to answer your research question Statistics, variability, regression, Statistical Hypothesis Testing Summary Statistics in Public Health , Hypothesis Testing in Public Health , Simple Regression Analysis in Public Health , Multiple Regression Analysis in Public Health  Social Sciences",4.8,80.0,Beginner,Coursera,"Calculate summary statistics from public health and biomedical data. Interpret written and visual presentations of statistical data. Evaluate and interpret results of various regression methods. Choose the most appropriate statistical method to answer your research question. Statistics, variability, regression, Statistical Hypothesis Testing Summary Statistics in Public Health, Hypothesis Testing in Public Health, Simple Regression Analysis in Public Health, Multiple Regression Analysis in Public Health. Social Sciences.",Biostatistics in Public Health  Specialization
 Build a social media presence for your business using Canva,"Learn how to built your social media presence for your small businessEstablish your audience and learn how you can reach them Social Media Marketing, Social Media, Canva, Social Media Platforms, Graphic Design Learn step-by-step Social Sciences",4.7,2.0,Beginner,Coursera,"Learn how to built your social media presence for your small businessEstablish your audience and learn how you can reach them Social Media Marketing, Social Media, Canva, Social Media Platforms, Graphic Design Learn step-by-step Social Sciences", Build a social media presence for your business using Canva
