Course Title,Course Info,Course Rating,Course Duration,Course Level,Source,Course Info Translate,Course Title Translate
当代应用心理学,"Not specified Not specified 第一章 心理学原理概述, 第二章 人因心理学原理简介及实例探讨,  第三章 消费者心理学原理简介及实例探讨, 第四章 组织及领导心理学原理简介及实例探讨, 第五章 性格心理学原理简介及实例探讨, 第六章 法律与犯罪心理学原理简介及实例探讨,  第七章 身心健康与适应心理原理简介及实例探讨, 第八章 心理测验与个别特质差异的原理简介及实例探讨, 第九章 人际与职场心理的原理简介及实例探讨 Health",4.6,28.0,Not applicable,Coursera,"Chapter One: Overview of Psychological Principles
Chapter Two: Introduction and Discussion of Human Factors Psychology Principles with Examples
Chapter Three: Introduction and Discussion of Consumer Psychology Principles with Examples
Chapter Four: Introduction and Discussion of Organizational and Leadership Psychology Principles with Examples
Chapter Five: Introduction and Discussion of Personality Psychology Principles with Examples
Chapter Six: Introduction and Discussion of Legal and Criminal Psychology Principles with Examples
Chapter Seven: Introduction and Discussion of Principles of Physical and Mental Health and Adaptation Psychology with Examples
Chapter Eight: Introduction and Discussion of Principles of Psychological Testing and Individual Trait Differences with Examples
Chapter Nine: Introduction and Discussion of Principles of Interpersonal and Workplace Psychology with Examples",Contemporary applied psychology
Evaluación del Aprendizaje en Escenarios Clínicos,"Not specified Evaluación, Observación, Comparación, Síntesis, Análisis Tema 1. Educación médica y evaluación, Tema 2. Evaluación de la competencia clínica centrada en el paciente, Tema 3. Calidad de la Evaluación en escenarios clínicos, Tema 4. El papel de la realimentación en la evaluación clínica Health",4.8,43.0,Intermediate,Coursera,"Not specified Evaluation, Observation, Comparison, Synthesis, Analysis Topic 1. Medical education and evaluation, Topic 2. Evaluation of patient-centered clinical competence, Topic 3. Quality of evaluation in clinical settings, Topic 4. The role of feedback in clinical evaluation Health",Assessment of Learning in Clinical Scenarios
Calidad en la atención clínica,"Not specified Trabajo en Equipo, Mejora continua, Liderazgo, satisfacción del cliente, Calidad en el servicio Calidad en el servicio, Importancia de la atención interprofesional, Desarrollo Profesional Continuo, Escenarios y Ambientes educativos Health",0.0,22.0,Beginner,Coursera,"Teamwork, Continuous Improvement, Leadership, Customer Satisfaction, Quality in Service, Importance of Interprofessional Care, Continuous Professional Development, Educational Scenarios and Environments, Health.",Quality in clinical care
Better Learning,"Identify the shortcomings of your current study habits to improve the way you use notes, highlighting, flashcards, and other classic study tools.Learn to use scientifically validated learning techniques to improve your studying and increase your retention.Create effective plans to overcome procrastination Metacognition, Understanding Memory, Defeating Procrastination, Learning Strategies, Improving Learning Learn With PsycLearn Essentials, Module 1: Why You Need This Course, Module 2: The Ins and Outs of Memory, Module 3: Elaboration, Module 4: Focused Learning, Module 5: Spaced Learning, Module 6: Retrieval Practice, Module 7: How to Be a Better Learner, Module 8: Course Summary, Module 9: Cumulative Quiz, Module 10: Course Resources, PsycLearn Essentials APA Student Resources Health",0.0,16.0,Beginner,Coursera,"Identify the shortcomings of your current study habits to improve the way you use notes, highlighting, flashcards, and other classic study tools.Learn to use scientifically validated learning techniques to improve your studying and increase your retention.Create effective plans to overcome procrastination Metacognition, Understanding Memory, Defeating Procrastination, Learning Strategies, Improving Learning Learn With PsycLearn Essentials, Module 1: Why You Need This Course, Module 2: The Ins and Outs of Memory, Module 3: Elaboration, Module 4: Focused Learning, Module 5: Spaced Learning, Module 6: Retrieval Practice, Module 7: How to Be a Better Learner, Module 8: Course Summary, Module 9: Cumulative Quiz, Module 10: Course Resources, PsycLearn Essentials APA Student Resources Health",Better Learning
Science Matters: Let's Talk About COVID-19,"To be aware of the scale of the emerging outbreak and know how to track trends using reliable sources of informationTo recognise the key scientific underpinnings of evidence-based outbreak control methodsTo recognise the importance of community involvement, multidisciplinary working and global cooperation in outbreak responseAbout how infectious disease modelling informs strategic and operational response at the local, national, and international level. Not specified ""Introduction to Science Matters: Lets talk about COVID-19"", COVID-19 Situation Reports: Updates on the Ongoing State of the Epidemic, How to Forecast an Epidemic: Epidemiology and Infectious Disease Modelling, Health Systems and Economic Impacts, Community Engagement and Response, The Virology of COVID-19, The Clinical Presentations of COVID-19, Summary Module Health",4.2,17.0,Beginner,Coursera,"To be aware of the scale of the emerging outbreak and know how to track trends using reliable sources of informationTo recognise the key scientific underpinnings of evidence-based outbreak control methodsTo recognise the importance of community involvement, multidisciplinary working and global cooperation in outbreak responseAbout how infectious disease modelling informs strategic and operational response at the local, national, and international level. Not specified ""Introduction to Science Matters: Lets talk about COVID-19"", COVID-19 Situation Reports: Updates on the Ongoing State of the Epidemic, How to Forecast an Epidemic: Epidemiology and Infectious Disease Modelling, Health Systems and Economic Impacts, Community Engagement and Response, The Virology of COVID-19, The Clinical Presentations of COVID-19, Summary Module Health",Science Matters: Let's Talk About COVID-19
Palliative Care Capstone Projects,"Not specified Not specified Nature of Suffering Capstone Project, SNAP and Self-Awareness Capstone Project, Easing Pain Capstone Project, Easing Physical Symptoms Capstone Project, Advance Care Planning Capstone Project Health",4.8,23.0,Beginner,Coursera,The text is already in English.,Palliative Care Capstone Projects
生物信息学: 导论与方法,"Not specified Not specified 导论与历史, 序列比对, 序列数据库搜索, 马尔可夫模型, 新一代测序NGS：重测序的回帖和变异鉴定, 变异的功能预测, 期中考试, 新一代测序NGS：转录组分析RNA-Seq, 非编码RNA的预测及分析, 本体论、分子通路鉴定, 生物信息数据库及软件资源, 研究案例 I -- 新基因起源, 研究案例II- DNA甲基化酶的演化功能分析, 期末考试 Health",4.8,25.0,Not applicable,Coursera,"Introduction and history, sequence alignment, sequence database search, Markov models, next-generation sequencing NGS: resequencing and variant identification, functional prediction of variants, midterm exam, next-generation sequencing NGS: transcriptome analysis RNA-Seq, prediction and analysis of non-coding RNA, ontology, molecular pathway identification, biological information databases and software resources, case study I - new gene origin, case study II - evolutionary functional analysis of DNA methyltransferases, final exam Health",Bioinformatics: Introduction and Methods
Methods and Statistics in Social Science - Final Research Project,"Not specified Not specified About the Final Research Project, Preparing for Milestone 1 - Research topic, Milestone 1 - General hypothesis and design, Milestone 2 - Design, operationalizations and expectations, Milestone 3 - Measurement and manipulation material, Milestone 4 - Data collection, methods documentation and  analysis plan, Milestone 5 - Statistical analysis, Milestone 6 - Report, Putting it all together (catch-up week), Reflection (catch-up week) Health",4.4,13.0,Beginner,Coursera,"Not specified Not specified About the Final Research Project, Preparing for Milestone 1 - Research topic, Milestone 1 - General hypothesis and design, Milestone 2 - Design, operationalizations and expectations, Milestone 3 - Measurement and manipulation material, Milestone 4 - Data collection, methods documentation and  analysis plan, Milestone 5 - Statistical analysis, Milestone 6 - Report, Putting it all together (catch-up week), Reflection (catch-up week) Health",Methods and Statistics in Social Science - Final Research Project
Building on the SIR Model,"Distinguish between stochastic and deterministic models, explain when either are appropriate, and perform simple simulations of a stochastic modelIdentify where it is important to incorporate population structure in a model and design and simulate a transmission model capturing such structure Evaluate the assumptions behind the Ross MacDonald model, and code such a model using R to simulate the dynamics of a vector-borne disease Critically evaluate a modelling study and communicate its strengths and weaknesses to a scientifically literate audience  Mathematical Model, R Programming, Infectious Diseases Building on the SIR Model: Stochasticity, Building on the SIR model: Heterogeneity, Building on the SIR model: Vector-borne Diseases , Assignment: Modelling Study Critique Health",4.6,20.0,Intermediate,Coursera,"Distinguish between stochastic and deterministic models, explain when either are appropriate, and perform simple simulations of a stochastic modelIdentify where it is important to incorporate population structure in a model and design and simulate a transmission model capturing such structure Evaluate the assumptions behind the Ross MacDonald model, and code such a model using R to simulate the dynamics of a vector-borne disease Critically evaluate a modelling study and communicate its strengths and weaknesses to a scientifically literate audience  Mathematical Model, R Programming, Infectious Diseases Building on the SIR Model: Stochasticity, Building on the SIR model: Heterogeneity, Building on the SIR model: Vector-borne Diseases , Assignment: Modelling Study Critique Health",Building on the SIR Model
Predictive Modeling and Transforming Clinical Practice,"Not specified Not specified Introduction: Clinical Prediction Models, Tools: Ensuring Model Usability, Techniques: Model Implementation and Sustainability, Techniques: Data Selection, Model Building, and Evaluation, Practical Application: Developing a Clinical Prediction Model Health",0.0,11.0,Intermediate,Coursera,"Not specified Not specified Introduction: Clinical Prediction Models, Tools: Ensuring Model Usability, Techniques: Model Implementation and Sustainability, Techniques: Data Selection, Model Building, and Evaluation, Practical Application: Developing a Clinical Prediction Model Health",Predictive Modeling and Transforming Clinical Practice
